Character,Pinyin,Hán Việt
爱,ài,ái
八,bā,bát
爸爸,bà ba,ba ba
北京,Běi jīng,Bắc Kinh
杯子,bēi zi,bôi tử
本,běn,bản
不,bù,bất
不客气,bú kè qi,bất khách khí
菜,cài,thái
茶,chá,trà
吃,chī,xích
出租车,chū zū chē,xuất tô xa
大,dà,đại
打电话,dǎ diàn huà,đả điện thoại
的,de,đích
点,diǎn,điểm
电脑,diàn nǎo,điện não
电视,diàn shì,điện thị
电影,diàn yǐng,điện ảnh
东西,dōng xi,đông tây
都,dōu,đô
读,dú,độc
对不起,duì bu qǐ,đối bất khởi
多,duō,đa
多少,duō shao,đa thiểu
二,èr,nhị
儿子,ér zi,nhi tử
饭馆,fàn guǎn,phạn quán
飞机,fēi jī,phi cơ
分钟,fēn zhōng,phân chung
高兴,gāo xìng,cao hứng
个,gè,cá
工作,gōng zuò,công tác
狗,gǒu,cẩu
汉语,hàn yǔ,Hán ngữ
好,hǎo,hảo
和,hé,hòa
喝,hē,hát
很,hěn,hẫn
后面,hòu miàn,hậu diện
回,huí,hồi
会,huì,hội
火车站,huǒ chē zhàn,hỏa xa trạm
几,jǐ,kỷ
家,jiā,gia
叫,jiào,khiếu
今天,jīn tiān,kim thiên
九,jiǔ,cửu
开,kāi,khai
看,kàn,khán
看见,kàn jiàn,khán kiến
块,kuài,khối
来,lái,lai
老师,lǎo shī,lão sư
了,le,liễu
冷,lěng,lãnh
里,lǐ,lí
零,líng,linh
六,liù,lục
吗,ma,ma
妈妈,mā ma,mẫu mẫu
买,mǎi,mãi
猫,māo,miêu
没,méi,một
没关系,méi guān xi,một quan hệ
米饭,mǐ fàn,mễ phạn
明天,míng tiān,minh thiên
名字,míng zi,danh tự
那,nà,na
哪,nǎ,nả
呢,ne,ni
能,néng,năng
你,nǐ,nễ
年,nián,niên
女儿,nǚ ér,nữ nhi
朋友,péng you,bằng hữu
漂亮,piào liang,phiêu lượng
苹果,píng guǒ,bình quả
七,qī,thất
钱,qián,tiền
前面,qián miàn,tiền diện
请,qǐng,thỉnh
去,qù,khứ
热,rè,nhiệt
人,rén,nhân
认识,rèn shi,nhận thức
日,rì,nhật
三,sān,tam
上,shàng,thượng
商店,shāng diàn,thương điếm
上午,shàng wǔ,thượng ngọ
少,shǎo,thiểu
谁,shéi,thùy
什么,shén me,thậm ma
十,shí,thập
是,shì,thị
时候,shí hou,thì hậu
书,shū,thư
水,shuǐ,thủy
水果,shuǐ guǒ,thủy quả
睡觉,shuì jiào,thụy giác
说话,shuō huà,thuyết thoại
四,sì,tứ
岁,suì,tuế
他,tā,tha
她,tā,tha
太,tài,thái
天气,tiān qì,thiên khí
听,tīng,thính
同学,tóng xué,đồng học
喂,wèi,duy
我,wǒ,ngã
我们,wǒ men,ngã môn
五,wǔ,ngũ
喜欢,xǐ huan,hỉ hoan
下,xià,hạ
下午,xià wǔ,hạ ngọ
下雨,xià yǔ,hạ vũ
先生,xiān sheng,tiên sinh
现在,xiàn zài,hiện tại
想,xiǎng,tưởng
小,xiǎo,tiểu
小姐,xiǎo jiě,tiểu thư
写,xiě,tả
些,xiē,ta
谢谢,xiè xie,tạ tạ
星期,xīng qī,tinh kỳ
学生,xué sheng,học sinh
学习,xué xí,học tập
学校,xué xiào,học hiệu
一,yī,nhất
衣服,yī fu,y phục
医生,yī shēng,y sinh
医院,yī yuàn,y viện
椅子,yǐ zi,ỷ tử
有,yǒu,hữu
月,yuè,nguyệt
在,zài,tại
再见,zài jiàn,tái kiến
怎么,zěn me,chẩm ma
怎么样,zěn me yàng,chẩm ma dạng
这,zhè,giá
中国,Zhōng guó,Trung Quốc
中午,zhōng wǔ,trung ngọ
住,zhù,trú
桌子,zhuō zi,trác tử
字,zì,tự
做,zuò,tố
坐,zuò,tọa
昨天,zuó tiān,tạc thiên
