Character,Pinyin,Hán Việt,Quảng Đông
吧,ba,ba,baa1
白,bái,bạch,baak6
百,bǎi,bách,baak3
帮助,bāng zhù,bảng trợ,bong1 zyu6
报纸,bào zhǐ,báo chí,bou3 zi2
比,bǐ,bỉ,bei2
别,bié,biệt,bit6
长,cháng,trường,coeng4
唱歌,chàng gē,xướng ca,coeng3 go1
出,chū,xuất,ceot1
船,chuán,thuyền,syun4
穿,chuān,xuyên,cyun1
次,cì,thứ,ci3
从,cóng,tòng,cung4
错,cuò,sai,co3
大家,dà jiā,đại gia,daai6 gaa1
打篮球,dǎ lán qiú,đả lạn cầu,daa2 laam4 kau4
但是,dàn shì,đản thị,daan6 si6
到,dào,đáo,dou3
得,de,đắc,dak1
等,děng,đẳng,dang2
弟弟,dì di,đệ đệ,dai6 dai6
第一,dì yī,đệ nhất,dai6 jat1
懂,dǒng,đổng,dung2
对,duì,đối,deoi3
房间,fáng jiān,phòng gian,fong2 gaan1
非常,fēi cháng,phi thường,fei1 soeng4
服务员,fú wù yuán,phục vụ viên,fuk6 wu6 jyun4
高,gāo,cao,gou1
告诉,gào su,cảo tục,gou3 sou3
哥哥,gē ge,ca ca,go1 go1
给,gěi,cấp,kap1
公共汽车,gōng gòng qì chē,công cộng khí xa,gung1 gung6 hei3 ce1
公斤,gōng jīn,công cân,gung1 gan1
公司,gōng sī,công ty,gung1 si1
贵,guì,quý,gwai3
过,guo,quá,gwo3
还,hái,hoàn,waan4
孩子,hái zi,hài tử,haai4 zi2
号,hào,hào,hou6
好吃,hǎo chī,hảo xúc,hou2 hek3
黑,hēi,hắc,hak1
红,hóng,hồng,hung4
欢迎,huān yíng,hoan nghênh,fun1 jing4
回答,huí dá,hồi đáp,wui4 daap3
机场,jī chǎng,cơ trường,gei1 coeng4
鸡蛋,jī dàn,kê đản,gai1 daan6
件,jiàn,kiện,gin6
教室,jiào shì,giáo thất,gaau3 sat1
姐姐,jiě jie,tỷ tỷ,ze2 ze2
介绍,jiè shào,giới thiệu,gaai3 siu6
进,jìn,tiến,zeon3
近,jìn,cận,gan6
就,jiù,tựu,zau6
觉得,jué de,giác đắc,gok3 dak1
咖啡,kā fēi,ca phê,gaa1 fe1
开始,kāi shǐ,khởi sự,hoi1 ci2
考试,kǎo shì,khảo sát,haau2 si6
课,kè,khóa,haak3
可能,kě néng,khả năng,ho2 nang4
可以,kě yǐ,khả dĩ,ho2 ji5
快,kuài,khoái,faai3
快乐,kuài lè,khoái lạc,faai3 lok6
累,lèi,lệ,leoi6
离,lí,ly,lei4
两,liǎng,lưỡng,loeng5
路,lù,lộ,lou6
旅游,lǚ yóu,lữ du,leoi5 jau4
卖,mài,mãi,maai6
慢,màn,mạn,maan6
忙,máng,mang,maang4
每,měi,mỗi,mui5
妹妹,mèi mei,muội muội,mui4 mui4
门,mén,môn,mun4
男人,nán rén,nam nhân,naam4 jan4
您,nín,nhân,nei5
牛奶,niú nǎi,ngưu nãi,ngau4 naai5
女人,nǚ rén,nữ nhân,neoi5 jan4
